state,gender,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NV,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,,5.0,6.0,,5.0,,,,,,,6.0,,6.0,6.0,6.0,,,9.0,,11.0,,,,,,,6.0,10.0,9.0,,5.0
NY,F,21.0,24.0,23.0,34.0,40.0,46.0,43.0,53.0,43.0,39.0,48.0,36.0,43.0,32.0,39.0,33.0,38.0,35.0,43.0,41.0,38.0,30.0,24.0,28.0,25.0,21.0,17.0,25.0,35.0,19.0,20.0,27.0,28.0,23.0,23.0,42.0,27.0,38.0,44.0,34.0,36.0,30.0,49.0,37.0,42.0,48.0,43.0,47.0,67.0,54.0,50.0,39.0,43.0,55.0,33.0,35.0,21.0,27.0,24.0,23.0,29.0,31.0,24.0,34.0,16.0,29.0,20.0,33.0,39.0,41.0,58.0,37.0,61.0,47.0,53.0,59.0,50.0,46.0,51.0,54.0,65.0,54.0,49.0,51.0,63.0,71.0,73.0,67.0,57.0,55.0,80.0,86.0,69.0,77.0,55.0,51.0,46.0,51.0,57.0,52.0,49.0,41.0,53.0,43.0,61.0,59.0,68.0,66.0,60.0
OH,F,17.0,5.0,10.0,15.0,21.0,22.0,26.0,25.0,22.0,26.0,19.0,31.0,35.0,37.0,42.0,40.0,40.0,33.0,28.0,29.0,29.0,14.0,28.0,24.0,14.0,21.0,23.0,12.0,20.0,11.0,32.0,14.0,16.0,23.0,14.0,26.0,23.0,22.0,28.0,29.0,25.0,23.0,30.0,31.0,27.0,21.0,28.0,24.0,24.0,20.0,19.0,26.0,20.0,18.0,22.0,12.0,12.0,12.0,6.0,19.0,10.0,13.0,9.0,7.0,11.0,19.0,13.0,26.0,13.0,33.0,51.0,31.0,31.0,28.0,32.0,26.0,22.0,25.0,31.0,26.0,22.0,11.0,22.0,21.0,24.0,39.0,23.0,33.0,28.0,47.0,33.0,28.0,33.0,33.0,31.0,24.0,22.0,34.0,29.0,32.0,31.0,34.0,30.0,38.0,50.0,39.0,44.0,33.0,42.0
OK,F,33.0,34.0,33.0,46.0,42.0,64.0,56.0,65.0,74.0,62.0,79.0,71.0,68.0,69.0,66.0,64.0,48.0,51.0,53.0,47.0,60.0,41.0,35.0,39.0,42.0,44.0,23.0,26.0,32.0,26.0,25.0,23.0,15.0,16.0,18.0,19.0,14.0,16.0,15.0,11.0,6.0,15.0,8.0,9.0,9.0,7.0,5.0,,6.0,8.0,,5.0,5.0,,,10.0,5.0,,,5.0,,8.0,5.0,,,9.0,,7.0,11.0,11.0,30.0,22.0,24.0,19.0,12.0,11.0,9.0,8.0,,6.0,10.0,8.0,,6.0,6.0,5.0,14.0,8.0,9.0,10.0,14.0,19.0,15.0,13.0,8.0,5.0,8.0,8.0,11.0,11.0,14.0,10.0,12.0,15.0,22.0,8.0,13.0,11.0,16.0
OR,F,,,,,,7.0,7.0,,6.0,7.0,,,,,6.0,,5.0,,,7.0,,,,,6.0,,,,,,,,,,,,,,,,,,,5.0,,,,,8.0,,,,5.0,5.0,,,,,,,5.0,5.0,,,6.0,9.0,5.0,11.0,16.0,13.0,22.0,21.0,17.0,9.0,15.0,9.0,5.0,9.0,10.0,10.0,12.0,7.0,11.0,6.0,11.0,18.0,15.0,5.0,12.0,,5.0,12.0,9.0,14.0,10.0,20.0,10.0,12.0,9.0,14.0,8.0,6.0,11.0,,9.0,14.0,10.0,13.0,14.0
PA,F,41.0,57.0,56.0,51.0,49.0,87.0,70.0,83.0,89.0,81.0,62.0,71.0,81.0,77.0,94.0,104.0,86.0,71.0,73.0,61.0,57.0,40.0,38.0,39.0,29.0,35.0,24.0,25.0,42.0,21.0,24.0,33.0,23.0,33.0,32.0,36.0,35.0,35.0,29.0,38.0,29.0,24.0,24.0,22.0,27.0,36.0,34.0,28.0,22.0,27.0,29.0,22.0,22.0,18.0,24.0,20.0,16.0,23.0,18.0,25.0,12.0,15.0,17.0,18.0,20.0,24.0,24.0,12.0,27.0,31.0,30.0,26.0,31.0,39.0,23.0,23.0,29.0,28.0,35.0,22.0,43.0,38.0,39.0,27.0,32.0,33.0,48.0,49.0,33.0,52.0,38.0,49.0,43.0,44.0,46.0,36.0,52.0,41.0,35.0,29.0,40.0,32.0,38.0,41.0,40.0,42.0,62.0,57.0,38.0
RI,F,5.0,7.0,6.0,11.0,11.0,10.0,16.0,18.0,10.0,11.0,9.0,14.0,12.0,11.0,10.0,7.0,9.0,10.0,7.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,5.0,,,,,,,5.0,,,,6.0,,,
SC,F,305.0,342.0,328.0,348.0,420.0,498.0,566.0,550.0,555.0,692.0,687.0,627.0,644.0,665.0,667.0,646.0,563.0,532.0,501.0,487.0,463.0,406.0,486.0,467.0,461.0,418.0,382.0,400.0,405.0,423.0,402.0,403.0,381.0,376.0,319.0,330.0,374.0,335.0,346.0,282.0,317.0,247.0,246.0,233.0,177.0,182.0,174.0,141.0,112.0,96.0,92.0,80.0,72.0,73.0,61.0,52.0,51.0,35.0,36.0,24.0,19.0,20.0,20.0,17.0,20.0,10.0,11.0,13.0,14.0,11.0,25.0,30.0,15.0,10.0,14.0,11.0,11.0,11.0,9.0,15.0,9.0,11.0,11.0,6.0,,12.0,15.0,9.0,15.0,11.0,12.0,9.0,13.0,7.0,7.0,11.0,17.0,,16.0,12.0,5.0,7.0,8.0,12.0,17.0,12.0,10.0,13.0,20.0
SC,M,,,,,,,5.0,,5.0,5.0,,,,,,6.0,7.0,6.0,7.0,,,8.0,,,,6.0,,,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,F,,7.0,6.0,,,,8.0,13.0,8.0,11.0,7.0,7.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,5.0,8.0,6.0,,,5.0,,5.0,,,,5.0,5.0,8.0,,,5.0,,,5.0,,,,,5.0,,5.0,6.0,,,,,,,,5.0,,,5.0,7.0
TN,F,163.0,168.0,232.0,221.0,241.0,292.0,338.0,363.0,329.0,331.0,366.0,394.0,393.0,399.0,393.0,385.0,369.0,346.0,319.0,276.0,262.0,256.0,267.0,245.0,257.0,247.0,186.0,214.0,192.0,174.0,174.0,159.0,176.0,165.0,158.0,159.0,139.0,154.0,138.0,149.0,114.0,115.0,82.0,105.0,76.0,88.0,56.0,40.0,47.0,62.0,43.0,42.0,41.0,33.0,29.0,21.0,27.0,11.0,22.0,20.0,16.0,12.0,12.0,9.0,9.0,8.0,10.0,11.0,16.0,13.0,24.0,20.0,15.0,13.0,16.0,12.0,16.0,17.0,17.0,18.0,15.0,12.0,14.0,10.0,14.0,23.0,25.0,27.0,20.0,25.0,21.0,17.0,30.0,17.0,21.0,15.0,19.0,17.0,23.0,25.0,22.0,26.0,27.0,29.0,41.0,34.0,32.0,40.0,31.0
TN,M,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,F,277.0,284.0,361.0,337.0,410.0,507.0,511.0,541.0,533.0,566.0,558.0,555.0,594.0,499.0,584.0,541.0,495.0,455.0,482.0,427.0,420.0,374.0,341.0,330.0,324.0,305.0,293.0,301.0,291.0,263.0,267.0,270.0,266.0,245.0,228.0,206.0,227.0,223.0,221.0,191.0,177.0,191.0,158.0,163.0,153.0,134.0,115.0,107.0,116.0,85.0,101.0,78.0,85.0,72.0,75.0,47.0,52.0,45.0,46.0,26.0,39.0,32.0,31.0,50.0,41.0,38.0,34.0,39.0,48.0,65.0,66.0,68.0,73.0,54.0,65.0,61.0,53.0,49.0,55.0,44.0,51.0,43.0,38.0,41.0,60.0,75.0,58.0,70.0,51.0,55.0,80.0,70.0,58.0,76.0,61.0,77.0,72.0,58.0,64.0,70.0,54.0,69.0,77.0,86.0,92.0,88.0,103.0,104.0,105.0
TX,M,,,,,,,,7.0,,,,,,,,,,5.0,,,,,6.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,F,,5.0,8.0,,,12.0,15.0,10.0,15.0,10.0,12.0,17.0,13.0,7.0,7.0,10.0,,6.0,,6.0,,7.0,,,,6.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,7.0,5.0,10.0,12.0,14.0,15.0,26.0,26.0,26.0,25.0,21.0,16.0,15.0,11.0,6.0,16.0,13.0,15.0,15.0,19.0,16.0,23.0,24.0,30.0,23.0,19.0,33.0,36.0,28.0,32.0,32.0,41.0,30.0,40.0,36.0,30.0,48.0,35.0,42.0,32.0,31.0,36.0,40.0,39.0,39.0,34.0
VA,F,181.0,156.0,214.0,269.0,272.0,370.0,331.0,378.0,407.0,394.0,415.0,434.0,391.0,360.0,381.0,341.0,350.0,334.0,310.0,281.0,260.0,210.0,237.0,201.0,225.0,226.0,179.0,184.0,180.0,155.0,180.0,144.0,186.0,151.0,132.0,126.0,110.0,137.0,124.0,93.0,84.0,83.0,64.0,57.0,62.0,53.0,57.0,52.0,32.0,36.0,27.0,32.0,28.0,19.0,25.0,25.0,25.0,25.0,11.0,12.0,10.0,12.0,6.0,19.0,12.0,8.0,6.0,13.0,8.0,15.0,15.0,17.0,16.0,16.0,19.0,18.0,18.0,18.0,16.0,18.0,19.0,15.0,20.0,15.0,16.0,13.0,16.0,11.0,29.0,18.0,20.0,20.0,22.0,12.0,12.0,17.0,22.0,18.0,17.0,11.0,16.0,13.0,13.0,21.0,15.0,25.0,24.0,15.0,21.0
VA,M,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,F,,,,,,,,7.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,F,8.0,,5.0,5.0,9.0,10.0,10.0,10.0,10.0,14.0,9.0,11.0,11.0,12.0,7.0,6.0,7.0,7.0,6.0,8.0,8.0,,,,5.0,5.0,,7.0,,,,,5.0,,,,5.0,,6.0,5.0,,,5.0,7.0,6.0,,7.0,,,,5.0,5.0,6.0,8.0,10.0,,8.0,,6.0,,,5.0,,6.0,6.0,11.0,10.0,15.0,17.0,23.0,27.0,36.0,19.0,20.0,17.0,21.0,19.0,17.0,14.0,20.0,24.0,14.0,26.0,19.0,22.0,17.0,28.0,26.0,26.0,18.0,34.0,28.0,32.0,29.0,27.0,21.0,23.0,19.0,24.0,14.0,24.0,24.0,21.0,18.0,26.0,26.0,24.0,27.0,22.0
WI,F,5.0,6.0,,7.0,,7.0,9.0,13.0,,15.0,,8.0,7.0,17.0,8.0,8.0,8.0,9.0,,10.0,5.0,,,,,,,,,,,,,,,,,,5.0,6.0,,,5.0,5.0,7.0,10.0,5.0,10.0,10.0,12.0,,,8.0,9.0,,,5.0,,5.0,,,5.0,,5.0,,10.0,14.0,,13.0,26.0,24.0,21.0,19.0,16.0,12.0,28.0,13.0,6.0,16.0,7.0,17.0,14.0,10.0,11.0,21.0,17.0,29.0,12.0,13.0,10.0,22.0,11.0,13.0,9.0,5.0,8.0,10.0,13.0,14.0,13.0,13.0,17.0,10.0,12.0,9.0,14.0,10.0,18.0,20.0
WV,F,20.0,13.0,25.0,29.0,18.0,27.0,24.0,44.0,30.0,29.0,35.0,40.0,44.0,48.0,50.0,37.0,43.0,44.0,47.0,33.0,21.0,31.0,27.0,23.0,29.0,16.0,20.0,20.0,15.0,10.0,16.0,16.0,17.0,10.0,15.0,8.0,7.0,12.0,8.0,8.0,7.0,11.0,10.0,9.0,7.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,,,5.0,,,6.0,,,,,,,,5.0,,,,,,,,,7.0,6.0,,,,,,5.0,6.0,,5.0,,,6.0,6.0,,,,,,7.0,6.0,5.0,,5.0,,,,,5.0,,,,,
WY,F,,,,,,,7.0,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
