state,gender,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FL,F,101.0,98.0,134.0,137.0,154.0,180.0,164.0,179.0,180.0,207.0,207.0,200.0,200.0,194.0,195.0,285.0,235.0,196.0,211.0,183.0,144.0,153.0,152.0,159.0,146.0,142.0,151.0,148.0,161.0,148.0,153.0,167.0,168.0,172.0,153.0,150.0,144.0,161.0,157.0,132.0,148.0,131.0,146.0,133.0,121.0,105.0,116.0,104.0,80.0,80.0,95.0,71.0,85.0,58.0,60.0,37.0,36.0,31.0,26.0,31.0,23.0,17.0,22.0,19.0,16.0,20.0,11.0,20.0,14.0,21.0,30.0,32.0,44.0,22.0,20.0,28.0,24.0,23.0,22.0,22.0,26.0,36.0,25.0,28.0,34.0,30.0,32.0,22.0,25.0,31.0,31.0,31.0,34.0,29.0,26.0,25.0,20.0,23.0,24.0,27.0,20.0,30.0,30.0,24.0,30.0,28.0,43.0,35.0,29.0
GA,F,553.0,520.0,633.0,632.0,738.0,862.0,887.0,928.0,1017.0,1082.0,1048.0,1005.0,1070.0,945.0,930.0,1012.0,908.0,893.0,842.0,777.0,763.0,718.0,759.0,792.0,712.0,687.0,727.0,709.0,701.0,611.0,615.0,588.0,642.0,610.0,561.0,562.0,539.0,554.0,540.0,542.0,443.0,428.0,368.0,326.0,304.0,277.0,267.0,230.0,229.0,180.0,159.0,155.0,159.0,124.0,118.0,87.0,53.0,60.0,49.0,40.0,19.0,22.0,23.0,19.0,29.0,10.0,15.0,22.0,32.0,32.0,27.0,27.0,32.0,23.0,21.0,27.0,22.0,20.0,23.0,25.0,29.0,29.0,21.0,27.0,25.0,18.0,32.0,21.0,26.0,25.0,32.0,35.0,26.0,27.0,24.0,29.0,27.0,21.0,28.0,29.0,23.0,26.0,25.0,27.0,32.0,31.0,39.0,49.0,33.0
GA,M,6.0,,,,,6.0,,7.0,9.0,,6.0,7.0,,,,,7.0,9.0,8.0,8.0,10.0,,5.0,7.0,5.0,6.0,5.0,,7.0,,,7.0,,,,6.0,6.0,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,F,12.0,9.0,15.0,11.0,10.0,28.0,21.0,37.0,21.0,20.0,25.0,30.0,28.0,24.0,31.0,20.0,33.0,28.0,31.0,22.0,34.0,15.0,16.0,11.0,13.0,13.0,14.0,11.0,10.0,13.0,10.0,,14.0,7.0,8.0,,8.0,5.0,,6.0,7.0,12.0,,,6.0,,7.0,6.0,,5.0,5.0,,,,,,5.0,,,,,,,,5.0,,,,,5.0,,10.0,,6.0,,11.0,,,,,5.0,,6.0,,5.0,,5.0,7.0,,,,,,,,,,,,,6.0,,,,,5.0,,,7.0
IA,F,,,6.0,5.0,,12.0,9.0,7.0,6.0,8.0,9.0,6.0,10.0,10.0,11.0,12.0,6.0,7.0,,,,10.0,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,7.0,,,,6.0,,6.0,,,,,,,,,,5.0,7.0,9.0,15.0,20.0,19.0,22.0,9.0,15.0,12.0,6.0,9.0,11.0,13.0,7.0,13.0,10.0,10.0,6.0,11.0,10.0,12.0,11.0,11.0,8.0,10.0,8.0,10.0,5.0,8.0,9.0,7.0,5.0,12.0,5.0,10.0,7.0,11.0,12.0,8.0,,8.0,13.0
ID,F,,,,,,6.0,8.0,,5.0,,5.0,,,6.0,6.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,6.0,5.0,17.0,14.0,8.0,8.0,12.0,,,5.0,,,7.0,,,6.0,7.0,6.0,,,5.0,13.0,5.0,12.0,5.0,8.0,5.0,11.0,5.0,9.0,7.0,10.0,13.0,9.0,6.0,8.0,5.0,10.0,9.0,9.0,5.0
IL,F,10.0,18.0,15.0,26.0,16.0,30.0,34.0,36.0,35.0,55.0,27.0,49.0,47.0,49.0,59.0,64.0,58.0,41.0,55.0,41.0,49.0,30.0,32.0,24.0,23.0,24.0,26.0,22.0,25.0,25.0,23.0,28.0,34.0,27.0,28.0,32.0,35.0,40.0,51.0,38.0,45.0,40.0,34.0,32.0,58.0,50.0,38.0,43.0,42.0,44.0,37.0,41.0,47.0,22.0,38.0,29.0,16.0,27.0,22.0,18.0,21.0,18.0,16.0,23.0,21.0,24.0,25.0,29.0,31.0,53.0,41.0,44.0,48.0,30.0,28.0,34.0,24.0,17.0,25.0,26.0,29.0,24.0,20.0,30.0,32.0,28.0,29.0,35.0,38.0,35.0,31.0,32.0,36.0,27.0,36.0,40.0,21.0,25.0,30.0,33.0,25.0,28.0,34.0,28.0,21.0,32.0,44.0,40.0,29.0
IN,F,5.0,,,6.0,,10.0,10.0,,6.0,,11.0,10.0,12.0,9.0,11.0,19.0,7.0,10.0,12.0,10.0,11.0,10.0,7.0,5.0,6.0,,5.0,7.0,,5.0,6.0,7.0,,7.0,,7.0,,11.0,11.0,17.0,6.0,11.0,16.0,9.0,8.0,14.0,9.0,12.0,8.0,18.0,,15.0,10.0,10.0,,6.0,8.0,12.0,6.0,,7.0,6.0,,9.0,7.0,7.0,7.0,16.0,14.0,17.0,25.0,20.0,21.0,8.0,8.0,7.0,7.0,12.0,6.0,9.0,11.0,8.0,10.0,12.0,13.0,11.0,18.0,19.0,12.0,16.0,23.0,18.0,16.0,21.0,17.0,18.0,10.0,18.0,13.0,11.0,14.0,22.0,22.0,13.0,30.0,17.0,33.0,23.0,34.0
KS,F,,,,,,6.0,5.0,12.0,11.0,19.0,10.0,11.0,8.0,,13.0,5.0,10.0,7.0,,7.0,10.0,7.0,,9.0,,5.0,,5.0,7.0,,,,,,,,,5.0,,,5.0,,,,,6.0,,,,,,5.0,,6.0,,,,,,,,,,,,5.0,,6.0,12.0,8.0,11.0,15.0,16.0,10.0,12.0,7.0,5.0,7.0,11.0,8.0,5.0,12.0,,13.0,,13.0,10.0,14.0,18.0,19.0,9.0,13.0,16.0,12.0,7.0,10.0,10.0,9.0,10.0,11.0,13.0,8.0,8.0,14.0,18.0,9.0,15.0,15.0,11.0
KY,F,63.0,47.0,81.0,69.0,76.0,107.0,93.0,120.0,102.0,99.0,98.0,97.0,94.0,102.0,112.0,90.0,65.0,64.0,82.0,57.0,77.0,71.0,65.0,66.0,49.0,49.0,53.0,34.0,32.0,39.0,44.0,26.0,41.0,33.0,24.0,26.0,25.0,31.0,39.0,23.0,24.0,24.0,12.0,24.0,21.0,17.0,11.0,6.0,6.0,9.0,8.0,,11.0,9.0,8.0,,,,,,5.0,,,6.0,6.0,6.0,11.0,14.0,10.0,7.0,11.0,12.0,8.0,10.0,9.0,8.0,7.0,7.0,8.0,12.0,7.0,,5.0,7.0,10.0,6.0,16.0,10.0,12.0,18.0,14.0,11.0,6.0,11.0,9.0,13.0,11.0,14.0,9.0,14.0,12.0,12.0,11.0,8.0,25.0,17.0,30.0,16.0,31.0
LA,F,169.0,154.0,195.0,178.0,209.0,223.0,246.0,260.0,278.0,301.0,290.0,291.0,312.0,292.0,275.0,316.0,305.0,277.0,276.0,258.0,248.0,220.0,242.0,210.0,216.0,189.0,189.0,169.0,207.0,192.0,185.0,183.0,194.0,186.0,141.0,185.0,164.0,172.0,174.0,157.0,170.0,152.0,140.0,115.0,123.0,97.0,84.0,88.0,80.0,62.0,58.0,56.0,51.0,39.0,29.0,33.0,25.0,24.0,16.0,13.0,23.0,21.0,17.0,22.0,15.0,11.0,12.0,11.0,15.0,30.0,31.0,34.0,27.0,29.0,31.0,12.0,25.0,18.0,19.0,14.0,14.0,21.0,21.0,16.0,8.0,18.0,20.0,15.0,24.0,23.0,23.0,10.0,14.0,18.0,12.0,16.0,9.0,15.0,23.0,19.0,17.0,13.0,14.0,18.0,21.0,21.0,27.0,27.0,30.0
MA,F,27.0,36.0,39.0,49.0,54.0,68.0,74.0,79.0,83.0,62.0,75.0,61.0,64.0,65.0,57.0,43.0,39.0,42.0,28.0,23.0,16.0,10.0,12.0,7.0,10.0,9.0,8.0,,6.0,6.0,,,7.0,,7.0,,,,,,,6.0,6.0,8.0,,7.0,6.0,8.0,9.0,6.0,8.0,,6.0,11.0,5.0,,5.0,5.0,,5.0,9.0,,5.0,,10.0,,7.0,7.0,7.0,14.0,7.0,11.0,10.0,11.0,6.0,12.0,13.0,11.0,13.0,13.0,19.0,18.0,11.0,19.0,22.0,19.0,20.0,23.0,25.0,32.0,24.0,25.0,18.0,21.0,17.0,20.0,17.0,15.0,28.0,18.0,24.0,19.0,14.0,13.0,25.0,24.0,32.0,21.0,15.0
MD,F,24.0,21.0,23.0,33.0,31.0,65.0,35.0,47.0,54.0,62.0,59.0,59.0,44.0,37.0,52.0,37.0,51.0,52.0,43.0,35.0,44.0,33.0,33.0,29.0,29.0,40.0,25.0,23.0,19.0,24.0,27.0,27.0,22.0,26.0,18.0,23.0,25.0,10.0,25.0,23.0,23.0,23.0,21.0,18.0,15.0,15.0,10.0,12.0,13.0,12.0,21.0,14.0,9.0,12.0,9.0,8.0,7.0,6.0,7.0,,6.0,5.0,8.0,6.0,8.0,6.0,7.0,8.0,9.0,13.0,5.0,12.0,10.0,11.0,,,11.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,16.0,7.0,13.0,10.0,17.0,22.0,19.0,14.0,17.0,12.0,6.0,13.0,11.0,9.0,9.0,14.0,6.0,10.0,12.0,16.0,13.0,13.0,17.0,15.0,11.0
ME,F,13.0,17.0,21.0,16.0,23.0,30.0,23.0,32.0,35.0,29.0,26.0,33.0,38.0,37.0,35.0,24.0,17.0,26.0,14.0,17.0,11.0,10.0,18.0,12.0,22.0,8.0,10.0,6.0,6.0,11.0,10.0,7.0,9.0,,,7.0,6.0,5.0,,,,,5.0,7.0,,,6.0,5.0,,,,,,,,,,,,,,,,,5.0,,,,,7.0,6.0,6.0,,,6.0,7.0,6.0,,7.0,7.0,6.0,,,5.0,,,,7.0,,8.0,,9.0,,,,,,,,5.0,,,7.0,6.0,6.0,,,,6.0
MI,F,6.0,8.0,11.0,10.0,18.0,19.0,27.0,40.0,20.0,29.0,31.0,31.0,27.0,40.0,47.0,35.0,33.0,28.0,34.0,49.0,44.0,26.0,29.0,25.0,27.0,24.0,19.0,15.0,16.0,16.0,12.0,17.0,18.0,14.0,20.0,20.0,23.0,34.0,24.0,29.0,46.0,22.0,23.0,23.0,36.0,23.0,19.0,22.0,28.0,23.0,24.0,17.0,17.0,22.0,16.0,12.0,,15.0,15.0,17.0,5.0,7.0,17.0,12.0,12.0,12.0,8.0,13.0,24.0,26.0,22.0,23.0,27.0,14.0,25.0,19.0,23.0,12.0,15.0,16.0,20.0,12.0,24.0,18.0,23.0,17.0,23.0,23.0,16.0,32.0,23.0,21.0,18.0,26.0,15.0,19.0,19.0,14.0,13.0,16.0,20.0,16.0,12.0,21.0,12.0,16.0,20.0,17.0,23.0
MN,F,9.0,,12.0,17.0,9.0,16.0,16.0,12.0,15.0,20.0,20.0,12.0,15.0,17.0,19.0,11.0,16.0,7.0,10.0,10.0,11.0,5.0,9.0,,8.0,,,5.0,,,,5.0,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,5.0,,,,,,6.0,,5.0,10.0,,10.0,12.0,15.0,29.0,29.0,30.0,39.0,24.0,25.0,23.0,15.0,17.0,16.0,20.0,24.0,7.0,13.0,18.0,13.0,22.0,28.0,13.0,16.0,29.0,23.0,23.0,29.0,22.0,22.0,21.0,16.0,25.0,21.0,22.0,22.0,25.0,19.0,23.0,27.0,19.0,21.0,20.0,21.0
MO,F,26.0,21.0,26.0,17.0,24.0,30.0,27.0,25.0,37.0,35.0,33.0,44.0,56.0,36.0,45.0,41.0,39.0,45.0,34.0,40.0,27.0,23.0,38.0,25.0,23.0,19.0,17.0,21.0,20.0,18.0,22.0,19.0,42.0,25.0,25.0,12.0,21.0,23.0,24.0,20.0,30.0,22.0,19.0,23.0,15.0,11.0,18.0,15.0,14.0,21.0,17.0,21.0,14.0,13.0,7.0,12.0,7.0,7.0,8.0,8.0,5.0,12.0,7.0,5.0,12.0,9.0,10.0,11.0,16.0,22.0,25.0,22.0,29.0,18.0,9.0,17.0,8.0,17.0,10.0,19.0,21.0,15.0,15.0,13.0,13.0,24.0,18.0,18.0,26.0,24.0,18.0,28.0,26.0,15.0,17.0,23.0,18.0,12.0,18.0,20.0,20.0,20.0,17.0,28.0,22.0,18.0,22.0,30.0,24.0
