state,gender,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
MA,F,989.0,1248.0,1636.0,1874.0,2497.0,2794.0,2754.0,2818.0,3006.0,2769.0,2970.0,3036.0,2847.0,2779.0,2746.0,2505.0,2331.0,2260.0,2151.0,1938.0,1959.0,1797.0,1728.0,1513.0,1507.0,1424.0,1430.0,1364.0,1275.0,1303.0,1322.0,1439.0,1624.0,1703.0,1520.0,1417.0,1665.0,1858.0,1817.0,1730.0,1711.0,1702.0,1772.0,1754.0,2129.0,1884.0,1969.0,1992.0,1837.0,1753.0,1694.0,1558.0,1372.0,1308.0,1251.0,1120.0,820.0,759.0,575.0,508.0,437.0,347.0,304.0,232.0,213.0,209.0,168.0,209.0,206.0,208.0,198.0,179.0,196.0,193.0,167.0,178.0,134.0,176.0,194.0,193.0,194.0,203.0,208.0,163.0,161.0,188.0,164.0,147.0,146.0,152.0,117.0,130.0,135.0,104.0,108.0,83.0,70.0,66.0,54.0,61.0,56.0,50.0,49.0,45.0,52.0,63.0,54.0,31.0,41.0
MA,M,6.0,,6.0,,6.0,,,6.0,,,,,6.0,6.0,11.0,,,6.0,7.0,5.0,7.0,6.0,6.0,8.0,14.0,7.0,9.0,7.0,5.0,7.0,,10.0,7.0,7.0,7.0,6.0,7.0,,,,,,,7.0,5.0,,,5.0,6.0,6.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,F,393.0,425.0,562.0,617.0,718.0,963.0,961.0,1031.0,1076.0,1069.0,1208.0,1302.0,1189.0,1226.0,1248.0,1181.0,1145.0,1201.0,1132.0,1050.0,1044.0,930.0,995.0,904.0,886.0,882.0,875.0,877.0,890.0,846.0,906.0,988.0,1064.0,1191.0,1083.0,965.0,1183.0,1255.0,1041.0,1023.0,1029.0,1063.0,1088.0,1127.0,1206.0,1104.0,1108.0,1012.0,1015.0,1001.0,920.0,849.0,815.0,827.0,729.0,713.0,539.0,529.0,440.0,383.0,371.0,317.0,267.0,223.0,218.0,166.0,181.0,176.0,151.0,170.0,194.0,191.0,199.0,169.0,159.0,166.0,180.0,144.0,167.0,168.0,215.0,202.0,190.0,149.0,185.0,149.0,146.0,149.0,149.0,98.0,141.0,123.0,92.0,96.0,85.0,90.0,76.0,61.0,82.0,62.0,54.0,52.0,55.0,41.0,49.0,40.0,46.0,50.0,44.0
MD,M,,,,,,,,,,,,,,,5.0,5.0,,,5.0,6.0,9.0,5.0,6.0,7.0,6.0,,,,,8.0,,9.0,,,,,,6.0,,,,,,,,,,,,,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,F,92.0,83.0,131.0,140.0,182.0,237.0,261.0,249.0,262.0,281.0,311.0,293.0,296.0,257.0,289.0,285.0,261.0,261.0,217.0,220.0,213.0,256.0,248.0,224.0,219.0,230.0,223.0,236.0,208.0,211.0,223.0,211.0,265.0,245.0,223.0,226.0,263.0,282.0,262.0,275.0,264.0,225.0,220.0,234.0,247.0,255.0,239.0,275.0,227.0,214.0,210.0,217.0,201.0,160.0,191.0,148.0,133.0,105.0,112.0,89.0,74.0,69.0,63.0,38.0,46.0,47.0,40.0,42.0,37.0,40.0,47.0,41.0,49.0,38.0,31.0,32.0,35.0,32.0,33.0,24.0,34.0,26.0,34.0,26.0,28.0,21.0,16.0,28.0,20.0,15.0,14.0,19.0,16.0,18.0,12.0,11.0,9.0,11.0,8.0,9.0,6.0,,7.0,9.0,6.0,5.0,,7.0,5.0
MI,F,349.0,456.0,628.0,744.0,885.0,1447.0,1587.0,1774.0,1787.0,1554.0,1809.0,1958.0,1772.0,1961.0,1946.0,1933.0,2113.0,2156.0,2250.0,2208.0,2291.0,2092.0,2002.0,1936.0,2034.0,1848.0,2066.0,1958.0,2118.0,1999.0,2018.0,2289.0,2456.0,2734.0,2493.0,2503.0,2811.0,2961.0,2933.0,2983.0,2937.0,3090.0,2961.0,3059.0,3436.0,3142.0,3155.0,3196.0,2746.0,2775.0,2517.0,2344.0,2106.0,2027.0,1983.0,1585.0,1384.0,1127.0,948.0,843.0,779.0,658.0,556.0,507.0,413.0,407.0,367.0,389.0,345.0,379.0,431.0,405.0,371.0,348.0,321.0,300.0,285.0,287.0,285.0,295.0,303.0,265.0,249.0,222.0,218.0,225.0,197.0,195.0,194.0,191.0,152.0,171.0,130.0,138.0,145.0,104.0,95.0,105.0,87.0,80.0,70.0,60.0,60.0,75.0,57.0,62.0,57.0,54.0,56.0
MI,M,,,,,,5.0,,,,,,8.0,,,8.0,10.0,12.0,,12.0,10.0,5.0,7.0,,5.0,11.0,5.0,9.0,5.0,6.0,9.0,11.0,8.0,8.0,8.0,9.0,8.0,,9.0,8.0,,,,,6.0,,12.0,,,5.0,11.0,8.0,5.0,8.0,7.0,8.0,8.0,,7.0,5.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,F,216.0,267.0,379.0,430.0,501.0,731.0,810.0,756.0,754.0,733.0,825.0,872.0,849.0,895.0,854.0,805.0,942.0,913.0,889.0,942.0,931.0,944.0,979.0,895.0,931.0,981.0,1024.0,962.0,1010.0,1053.0,1135.0,1148.0,1293.0,1400.0,1316.0,1348.0,1693.0,1753.0,1768.0,1639.0,1813.0,1856.0,1756.0,1681.0,1918.0,1720.0,1725.0,1731.0,1595.0,1635.0,1468.0,1327.0,1242.0,1141.0,1113.0,821.0,669.0,533.0,443.0,336.0,343.0,241.0,206.0,183.0,182.0,141.0,156.0,155.0,150.0,175.0,177.0,173.0,224.0,140.0,149.0,144.0,160.0,116.0,129.0,125.0,134.0,124.0,138.0,142.0,106.0,105.0,116.0,109.0,86.0,93.0,87.0,113.0,83.0,82.0,86.0,65.0,73.0,41.0,56.0,44.0,52.0,35.0,44.0,34.0,42.0,41.0,44.0,38.0,23.0
MN,M,,,,,,,,,,,,,,,,,,,7.0,,,,5.0,,,,,,,8.0,,,5.0,,,,5.0,,,9.0,,,,5.0,5.0,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,F,611.0,626.0,834.0,971.0,1126.0,1562.0,1735.0,1882.0,1950.0,1817.0,2022.0,2122.0,2107.0,2116.0,2261.0,2155.0,2098.0,2313.0,2088.0,1872.0,1989.0,1885.0,1972.0,1724.0,1796.0,1669.0,1681.0,1680.0,1688.0,1618.0,1707.0,1743.0,1854.0,1850.0,1794.0,1682.0,1946.0,2061.0,1934.0,1862.0,1817.0,1783.0,1794.0,1668.0,1817.0,1691.0,1725.0,1609.0,1535.0,1408.0,1350.0,1280.0,1132.0,1060.0,1043.0,913.0,710.0,627.0,492.0,519.0,468.0,440.0,357.0,295.0,291.0,295.0,277.0,290.0,243.0,246.0,278.0,269.0,259.0,282.0,238.0,239.0,215.0,195.0,227.0,225.0,218.0,233.0,232.0,203.0,200.0,209.0,164.0,175.0,166.0,139.0,167.0,138.0,117.0,131.0,99.0,111.0,118.0,95.0,80.0,107.0,71.0,74.0,62.0,72.0,74.0,68.0,60.0,58.0,47.0
MO,M,,,,6.0,,,5.0,,,,9.0,7.0,,,5.0,5.0,7.0,11.0,7.0,11.0,6.0,10.0,8.0,9.0,14.0,6.0,7.0,5.0,7.0,5.0,10.0,9.0,8.0,5.0,7.0,9.0,,,,,,,,,5.0,,,,,6.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,762.0,606.0,806.0,899.0,970.0,1141.0,1263.0,1215.0,1348.0,1520.0,1557.0,1525.0,1720.0,1617.0,1735.0,1777.0,1714.0,1840.0,1680.0,1623.0,1663.0,1464.0,1569.0,1497.0,1491.0,1504.0,1549.0,1500.0,1538.0,1565.0,1557.0,1631.0,1652.0,1715.0,1544.0,1500.0,1621.0,1743.0,1714.0,1764.0,1637.0,1594.0,1532.0,1497.0,1378.0,1312.0,1225.0,1163.0,1004.0,1008.0,940.0,836.0,814.0,764.0,721.0,617.0,564.0,513.0,424.0,374.0,406.0,353.0,315.0,284.0,254.0,237.0,212.0,232.0,191.0,222.0,231.0,206.0,261.0,178.0,193.0,171.0,160.0,160.0,179.0,145.0,161.0,162.0,153.0,147.0,159.0,194.0,145.0,145.0,141.0,144.0,152.0,149.0,124.0,113.0,114.0,121.0,88.0,83.0,104.0,90.0,74.0,96.0,90.0,78.0,82.0,95.0,86.0,83.0,83.0
MS,M,,,,,5.0,,,5.0,8.0,9.0,11.0,5.0,11.0,8.0,5.0,8.0,12.0,10.0,6.0,14.0,17.0,9.0,7.0,10.0,14.0,11.0,13.0,14.0,12.0,14.0,12.0,11.0,13.0,11.0,10.0,6.0,11.0,6.0,11.0,,13.0,5.0,7.0,5.0,,7.0,6.0,6.0,8.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,F,81.0,72.0,108.0,140.0,187.0,244.0,257.0,289.0,342.0,287.0,311.0,326.0,281.0,256.0,261.0,213.0,217.0,200.0,200.0,211.0,208.0,184.0,192.0,170.0,232.0,184.0,184.0,177.0,177.0,164.0,185.0,186.0,209.0,204.0,192.0,169.0,240.0,221.0,228.0,249.0,265.0,238.0,252.0,236.0,253.0,253.0,235.0,239.0,187.0,211.0,191.0,170.0,135.0,126.0,107.0,121.0,79.0,62.0,68.0,48.0,50.0,51.0,35.0,38.0,31.0,30.0,33.0,29.0,33.0,40.0,31.0,42.0,32.0,29.0,35.0,16.0,27.0,19.0,27.0,26.0,24.0,22.0,23.0,18.0,23.0,16.0,17.0,11.0,12.0,16.0,21.0,11.0,7.0,15.0,5.0,10.0,9.0,10.0,10.0,7.0,8.0,5.0,9.0,7.0,8.0,,6.0,7.0,7.0
NC,F,837.0,838.0,1086.0,1180.0,1581.0,1946.0,2056.0,2129.0,2344.0,2578.0,2674.0,2811.0,2853.0,2891.0,3125.0,2916.0,2910.0,2968.0,2897.0,2665.0,2484.0,2442.0,2674.0,2388.0,2443.0,2411.0,2255.0,2305.0,2346.0,2288.0,2281.0,2250.0,2415.0,2448.0,2314.0,2224.0,2414.0,2570.0,2401.0,2237.0,2033.0,2118.0,1955.0,1783.0,1699.0,1680.0,1522.0,1504.0,1353.0,1257.0,1164.0,1175.0,1084.0,1062.0,999.0,894.0,764.0,705.0,650.0,635.0,647.0,555.0,471.0,434.0,413.0,383.0,368.0,384.0,358.0,381.0,423.0,417.0,377.0,357.0,337.0,369.0,333.0,369.0,337.0,355.0,358.0,386.0,355.0,345.0,339.0,285.0,291.0,292.0,285.0,312.0,280.0,265.0,228.0,244.0,262.0,221.0,214.0,183.0,162.0,145.0,141.0,130.0,110.0,115.0,114.0,105.0,130.0,112.0,110.0
NC,M,,,5.0,6.0,,9.0,12.0,8.0,10.0,11.0,5.0,9.0,16.0,14.0,12.0,15.0,19.0,24.0,25.0,25.0,25.0,16.0,16.0,25.0,17.0,18.0,12.0,13.0,17.0,21.0,21.0,16.0,14.0,13.0,12.0,7.0,8.0,8.0,,6.0,8.0,,10.0,8.0,7.0,,5.0,5.0,,,7.0,,,,,,,,,6.0,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,F,85.0,96.0,100.0,114.0,142.0,196.0,271.0,234.0,199.0,220.0,230.0,241.0,225.0,220.0,231.0,214.0,216.0,238.0,216.0,213.0,210.0,198.0,200.0,194.0,202.0,189.0,236.0,182.0,204.0,199.0,230.0,222.0,228.0,214.0,256.0,227.0,295.0,298.0,315.0,269.0,290.0,250.0,270.0,283.0,269.0,246.0,288.0,248.0,217.0,231.0,202.0,182.0,169.0,143.0,133.0,117.0,94.0,64.0,71.0,66.0,43.0,43.0,43.0,24.0,32.0,31.0,37.0,34.0,30.0,23.0,27.0,20.0,24.0,24.0,21.0,24.0,17.0,22.0,21.0,13.0,12.0,9.0,11.0,15.0,8.0,20.0,8.0,8.0,10.0,7.0,6.0,6.0,9.0,6.0,7.0,6.0,6.0,7.0,,8.0,,,9.0,,5.0,8.0,10.0,6.0,6.0
NE,F,161.0,142.0,215.0,255.0,288.0,371.0,413.0,439.0,486.0,435.0,516.0,574.0,531.0,533.0,581.0,485.0,483.0,577.0,513.0,545.0,535.0,546.0,514.0,476.0,561.0,480.0,503.0,466.0,510.0,458.0,460.0,421.0,454.0,506.0,530.0,498.0,562.0,624.0,658.0,644.0,665.0,619.0,639.0,631.0,621.0,552.0,618.0,512.0,478.0,493.0,452.0,433.0,326.0,399.0,396.0,283.0,197.0,177.0,152.0,133.0,145.0,120.0,108.0,86.0,77.0,64.0,72.0,64.0,56.0,64.0,78.0,74.0,81.0,68.0,53.0,56.0,47.0,67.0,52.0,54.0,46.0,51.0,44.0,58.0,43.0,47.0,40.0,47.0,50.0,40.0,38.0,33.0,28.0,38.0,31.0,22.0,37.0,16.0,21.0,26.0,12.0,16.0,22.0,19.0,13.0,18.0,20.0,16.0,11.0
NE,M,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,F,50.0,68.0,95.0,98.0,138.0,186.0,157.0,139.0,158.0,181.0,156.0,182.0,171.0,148.0,167.0,154.0,137.0,136.0,151.0,107.0,124.0,110.0,124.0,113.0,100.0,96.0,90.0,101.0,107.0,104.0,112.0,121.0,119.0,116.0,113.0,125.0,146.0,162.0,158.0,146.0,135.0,136.0,110.0,128.0,121.0,131.0,135.0,153.0,120.0,127.0,119.0,107.0,102.0,103.0,104.0,99.0,62.0,77.0,54.0,35.0,56.0,37.0,35.0,33.0,44.0,34.0,24.0,27.0,25.0,34.0,39.0,37.0,37.0,22.0,27.0,32.0,30.0,31.0,25.0,37.0,31.0,27.0,31.0,26.0,29.0,32.0,12.0,25.0,23.0,27.0,16.0,25.0,27.0,22.0,15.0,26.0,14.0,7.0,5.0,10.0,10.0,,5.0,,16.0,13.0,5.0,9.0,5.0
NJ,F,593.0,733.0,1024.0,1078.0,1449.0,1923.0,1881.0,2015.0,1990.0,1869.0,1885.0,1922.0,1801.0,1786.0,1772.0,1615.0,1466.0,1568.0,1522.0,1399.0,1388.0,1272.0,1265.0,1141.0,1062.0,1038.0,964.0,1057.0,1001.0,1011.0,1013.0,1128.0,1331.0,1324.0,1240.0,1203.0,1420.0,1448.0,1399.0,1324.0,1333.0,1406.0,1469.0,1553.0,1823.0,1709.0,1775.0,1780.0,1725.0,1567.0,1621.0,1462.0,1272.0,1301.0,1243.0,1072.0,869.0,775.0,608.0,566.0,491.0,474.0,367.0,301.0,263.0,262.0,228.0,272.0,210.0,225.0,225.0,211.0,221.0,200.0,202.0,199.0,187.0,193.0,189.0,203.0,202.0,233.0,214.0,190.0,169.0,133.0,163.0,156.0,136.0,147.0,120.0,118.0,127.0,112.0,103.0,82.0,81.0,70.0,63.0,44.0,49.0,47.0,42.0,44.0,45.0,49.0,33.0,37.0,30.0
NJ,M,,,,,,,5.0,,,,,,,,,,9.0,,6.0,6.0,,6.0,5.0,8.0,,,5.0,9.0,,8.0,,,,5.0,,5.0,8.0,7.0,,8.0,,,,,,5.0,5.0,6.0,,,,,6.0,,5.0,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,F,98.0,111.0,155.0,127.0,140.0,202.0,250.0,239.0,319.0,270.0,307.0,416.0,378.0,381.0,400.0,392.0,343.0,394.0,380.0,394.0,389.0,389.0,402.0,370.0,433.0,475.0,432.0,482.0,453.0,504.0,481.0,505.0,519.0,528.0,509.0,469.0,557.0,589.0,547.0,522.0,512.0,516.0,508.0,486.0,511.0,455.0,426.0,439.0,386.0,366.0,342.0,290.0,285.0,263.0,257.0,208.0,170.0,144.0,120.0,97.0,111.0,86.0,77.0,72.0,73.0,60.0,60.0,72.0,61.0,72.0,57.0,58.0,69.0,48.0,45.0,46.0,46.0,38.0,34.0,51.0,43.0,34.0,25.0,29.0,26.0,22.0,34.0,14.0,28.0,13.0,29.0,22.0,21.0,15.0,16.0,15.0,16.0,17.0,18.0,11.0,14.0,,8.0,6.0,12.0,12.0,10.0,6.0,10.0
NM,M,,,,,,,,,,,,,,,,5.0,,,,,6.0,7.0,6.0,9.0,,5.0,7.0,,,5.0,6.0,,6.0,,5.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,F,10.0,6.0,5.0,21.0,12.0,27.0,40.0,31.0,31.0,37.0,28.0,33.0,30.0,29.0,29.0,36.0,33.0,34.0,25.0,22.0,25.0,21.0,23.0,21.0,23.0,29.0,32.0,35.0,14.0,30.0,22.0,23.0,48.0,50.0,50.0,54.0,45.0,61.0,48.0,57.0,49.0,54.0,60.0,61.0,65.0,67.0,59.0,69.0,40.0,46.0,50.0,46.0,51.0,54.0,58.0,69.0,40.0,52.0,32.0,41.0,32.0,36.0,36.0,24.0,16.0,25.0,20.0,19.0,19.0,28.0,27.0,28.0,29.0,28.0,27.0,21.0,21.0,22.0,25.0,26.0,24.0,33.0,25.0,24.0,29.0,33.0,27.0,22.0,21.0,29.0,18.0,22.0,25.0,17.0,15.0,20.0,23.0,16.0,11.0,13.0,13.0,10.0,17.0,19.0,9.0,8.0,15.0,16.0,11.0
NY,F,1923.0,2322.0,2909.0,3267.0,4245.0,5342.0,5497.0,5502.0,5523.0,5061.0,5299.0,5413.0,5304.0,5159.0,5144.0,4915.0,4780.0,5094.0,4907.0,4762.0,4856.0,4595.0,4256.0,3934.0,3701.0,3767.0,3689.0,3805.0,3622.0,3569.0,3663.0,3881.0,4171.0,4451.0,4099.0,3906.0,4798.0,4967.0,4720.0,4598.0,4739.0,4733.0,4938.0,4916.0,5468.0,5117.0,5066.0,5266.0,5009.0,4871.0,4631.0,4433.0,3819.0,3783.0,3622.0,3076.0,2547.0,2203.0,1798.0,1555.0,1472.0,1142.0,952.0,820.0,798.0,689.0,670.0,665.0,539.0,570.0,596.0,585.0,553.0,539.0,463.0,455.0,419.0,453.0,434.0,461.0,466.0,469.0,464.0,444.0,380.0,374.0,312.0,334.0,295.0,277.0,294.0,247.0,247.0,206.0,214.0,208.0,154.0,150.0,142.0,130.0,146.0,93.0,101.0,105.0,123.0,94.0,92.0,82.0,91.0
NY,M,11.0,9.0,8.0,10.0,9.0,10.0,8.0,16.0,16.0,9.0,10.0,13.0,8.0,10.0,16.0,17.0,23.0,16.0,20.0,18.0,20.0,14.0,21.0,21.0,16.0,14.0,13.0,13.0,10.0,14.0,20.0,9.0,10.0,18.0,13.0,11.0,7.0,6.0,10.0,9.0,7.0,5.0,12.0,10.0,20.0,10.0,6.0,11.0,6.0,11.0,13.0,13.0,19.0,10.0,13.0,9.0,9.0,12.0,,11.0,10.0,,,5.0,,,,5.0,5.0,,5.0,,6.0,,,5.0,6.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
OH,F,1099.0,1277.0,1868.0,2181.0,2731.0,3653.0,3736.0,3947.0,4202.0,3812.0,4232.0,4386.0,4383.0,4127.0,4201.0,3812.0,3806.0,4027.0,4004.0,3554.0,3585.0,3266.0,3089.0,2919.0,2903.0,2753.0,2767.0,2758.0,2790.0,2720.0,2692.0,2722.0,3036.0,3166.0,2885.0,2680.0,3333.0,3563.0,3464.0,3378.0,3321.0,3520.0,3559.0,3370.0,3758.0,3557.0,3471.0,3454.0,3088.0,3053.0,2904.0,2568.0,2434.0,2285.0,2245.0,1881.0,1638.0,1405.0,1177.0,1128.0,1098.0,963.0,760.0,679.0,700.0,627.0,547.0,559.0,553.0,525.0,565.0,592.0,505.0,488.0,445.0,428.0,400.0,377.0,373.0,372.0,388.0,388.0,410.0,359.0,350.0,358.0,332.0,326.0,304.0,322.0,240.0,238.0,227.0,207.0,176.0,186.0,180.0,154.0,114.0,119.0,114.0,126.0,112.0,96.0,99.0,118.0,95.0,98.0,82.0
OH,M,6.0,6.0,,,9.0,7.0,5.0,9.0,11.0,7.0,12.0,10.0,6.0,14.0,7.0,11.0,13.0,13.0,13.0,8.0,13.0,10.0,21.0,17.0,13.0,9.0,11.0,7.0,11.0,11.0,13.0,7.0,14.0,6.0,8.0,8.0,6.0,9.0,12.0,8.0,,8.0,8.0,5.0,7.0,7.0,9.0,11.0,6.0,8.0,8.0,9.0,9.0,8.0,6.0,10.0,5.0,5.0,,6.0,5.0,,5.0,,7.0,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,F,326.0,348.0,431.0,525.0,572.0,763.0,815.0,931.0,1036.0,1051.0,1313.0,1338.0,1358.0,1446.0,1462.0,1451.0,1411.0,1502.0,1342.0,1350.0,1319.0,1237.0,1224.0,1254.0,1222.0,1155.0,1097.0,1094.0,1117.0,1081.0,1042.0,1057.0,1067.0,1047.0,997.0,851.0,877.0,914.0,819.0,809.0,815.0,746.0,709.0,661.0,670.0,605.0,547.0,541.0,468.0,460.0,469.0,413.0,364.0,359.0,347.0,298.0,254.0,227.0,210.0,204.0,193.0,193.0,169.0,129.0,138.0,126.0,126.0,155.0,126.0,162.0,167.0,166.0,168.0,169.0,144.0,136.0,127.0,97.0,94.0,95.0,97.0,92.0,101.0,91.0,83.0,82.0,70.0,65.0,70.0,58.0,78.0,63.0,57.0,51.0,55.0,51.0,42.0,39.0,46.0,39.0,29.0,29.0,22.0,29.0,32.0,25.0,28.0,32.0,25.0
OK,M,,,,,,,,,,,5.0,6.0,,,5.0,5.0,,,5.0,,5.0,14.0,,5.0,,,5.0,5.0,,,6.0,6.0,,,8.0,,,6.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,F,54.0,73.0,129.0,136.0,149.0,248.0,198.0,249.0,230.0,256.0,271.0,326.0,271.0,321.0,291.0,274.0,238.0,259.0,253.0,243.0,268.0,217.0,198.0,188.0,206.0,190.0,210.0,238.0,253.0,235.0,250.0,255.0,351.0,395.0,367.0,371.0,421.0,504.0,442.0,435.0,429.0,450.0,440.0,486.0,459.0,417.0,374.0,383.0,362.0,295.0,323.0,305.0,234.0,222.0,251.0,229.0,160.0,165.0,144.0,132.0,122.0,111.0,98.0,90.0,83.0,94.0,94.0,84.0,97.0,99.0,118.0,109.0,121.0,80.0,87.0,82.0,68.0,63.0,68.0,69.0,85.0,80.0,63.0,74.0,56.0,49.0,60.0,62.0,54.0,66.0,60.0,39.0,39.0,44.0,41.0,27.0,44.0,31.0,40.0,32.0,22.0,20.0,14.0,20.0,20.0,11.0,15.0,19.0,18.0
PA,F,2913.0,3188.0,4106.0,4739.0,5981.0,7970.0,7730.0,7988.0,8184.0,7428.0,7650.0,7772.0,7302.0,7035.0,7200.0,6563.0,6008.0,6229.0,5739.0,5302.0,5188.0,4916.0,4535.0,4122.0,4091.0,3929.0,3933.0,4037.0,4059.0,3878.0,3943.0,4085.0,4476.0,4470.0,3952.0,3658.0,4455.0,4845.0,4441.0,4350.0,4074.0,4212.0,4167.0,4027.0,4400.0,4072.0,3869.0,3971.0,3696.0,3575.0,3295.0,3037.0,2632.0,2577.0,2532.0,2048.0,1695.0,1418.0,1274.0,1145.0,1048.0,808.0,739.0,611.0,592.0,581.0,476.0,526.0,467.0,501.0,531.0,503.0,498.0,455.0,431.0,398.0,388.0,364.0,400.0,447.0,415.0,415.0,430.0,437.0,431.0,368.0,360.0,305.0,289.0,320.0,311.0,300.0,266.0,225.0,223.0,202.0,184.0,191.0,166.0,160.0,158.0,129.0,130.0,124.0,124.0,134.0,123.0,108.0,101.0
PA,M,9.0,17.0,11.0,14.0,18.0,17.0,25.0,11.0,13.0,9.0,14.0,13.0,18.0,9.0,7.0,20.0,14.0,11.0,12.0,17.0,19.0,11.0,16.0,12.0,15.0,14.0,12.0,10.0,18.0,12.0,13.0,24.0,8.0,10.0,9.0,6.0,5.0,,9.0,11.0,5.0,11.0,10.0,7.0,8.0,8.0,7.0,8.0,8.0,,10.0,6.0,8.0,5.0,7.0,,7.0,8.0,7.0,7.0,5.0,,,,,6.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,F,141.0,168.0,266.0,269.0,350.0,415.0,414.0,442.0,458.0,410.0,452.0,485.0,461.0,426.0,414.0,382.0,309.0,338.0,319.0,269.0,278.0,216.0,225.0,187.0,165.0,172.0,167.0,143.0,164.0,180.0,177.0,171.0,173.0,234.0,195.0,215.0,253.0,281.0,243.0,226.0,226.0,256.0,250.0,259.0,300.0,278.0,293.0,266.0,268.0,258.0,241.0,227.0,235.0,203.0,188.0,150.0,116.0,101.0,79.0,66.0,77.0,66.0,37.0,34.0,28.0,23.0,29.0,31.0,24.0,31.0,32.0,27.0,21.0,31.0,30.0,23.0,27.0,25.0,23.0,24.0,31.0,21.0,29.0,24.0,21.0,19.0,14.0,12.0,20.0,12.0,16.0,11.0,14.0,17.0,13.0,14.0,12.0,7.0,8.0,6.0,5.0,8.0,,8.0,6.0,6.0,8.0,,8.0
SC,F,602.0,508.0,711.0,725.0,908.0,1098.0,1243.0,1263.0,1412.0,1616.0,1615.0,1688.0,1635.0,1647.0,1742.0,1669.0,1628.0,1638.0,1539.0,1417.0,1452.0,1365.0,1563.0,1466.0,1527.0,1462.0,1436.0,1548.0,1479.0,1483.0,1569.0,1627.0,1634.0,1698.0,1604.0,1549.0,1569.0,1711.0,1640.0,1593.0,1456.0,1460.0,1396.0,1361.0,1301.0,1142.0,1098.0,994.0,898.0,875.0,805.0,750.0,717.0,645.0,617.0,532.0,469.0,475.0,423.0,365.0,364.0,338.0,277.0,273.0,245.0,233.0,240.0,237.0,228.0,243.0,235.0,225.0,225.0,203.0,202.0,214.0,162.0,178.0,189.0,196.0,188.0,207.0,209.0,178.0,168.0,188.0,197.0,171.0,175.0,162.0,167.0,174.0,159.0,142.0,124.0,142.0,123.0,103.0,98.0,95.0,72.0,97.0,79.0,95.0,92.0,88.0,72.0,77.0,65.0
SC,M,,,5.0,5.0,8.0,5.0,,8.0,5.0,8.0,7.0,7.0,6.0,5.0,11.0,9.0,10.0,9.0,11.0,5.0,11.0,13.0,9.0,12.0,9.0,10.0,14.0,14.0,12.0,15.0,14.0,17.0,8.0,12.0,5.0,13.0,,12.0,,8.0,6.0,5.0,,5.0,,,,,6.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
