state,gender,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO,M,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,F,304.0,382.0,471.0,606.0,851.0,989.0,1078.0,1138.0,1119.0,969.0,970.0,1010.0,836.0,863.0,760.0,729.0,751.0,668.0,643.0,624.0,625.0,552.0,494.0,492.0,459.0,428.0,422.0,438.0,390.0,419.0,450.0,509.0,581.0,589.0,520.0,532.0,643.0,665.0,619.0,586.0,613.0,623.0,629.0,667.0,752.0,773.0,752.0,761.0,702.0,764.0,682.0,661.0,575.0,591.0,592.0,519.0,381.0,336.0,277.0,256.0,236.0,197.0,136.0,124.0,89.0,89.0,103.0,83.0,95.0,80.0,120.0,105.0,98.0,99.0,73.0,92.0,81.0,76.0,94.0,93.0,96.0,109.0,84.0,95.0,99.0,80.0,73.0,65.0,68.0,68.0,66.0,49.0,59.0,50.0,50.0,44.0,30.0,38.0,27.0,27.0,29.0,22.0,20.0,24.0,22.0,13.0,22.0,22.0,18.0
CT,M,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,5.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,F,80.0,88.0,122.0,136.0,176.0,195.0,200.0,234.0,247.0,274.0,255.0,362.0,347.0,350.0,345.0,346.0,295.0,347.0,335.0,286.0,293.0,257.0,310.0,294.0,288.0,325.0,320.0,330.0,347.0,367.0,365.0,400.0,515.0,546.0,520.0,494.0,559.0,533.0,518.0,491.0,519.0,535.0,516.0,510.0,519.0,526.0,433.0,471.0,435.0,408.0,368.0,374.0,319.0,307.0,287.0,251.0,221.0,175.0,144.0,137.0,112.0,103.0,72.0,50.0,50.0,65.0,49.0,59.0,53.0,54.0,50.0,60.0,50.0,45.0,54.0,54.0,44.0,55.0,38.0,23.0,51.0,48.0,46.0,46.0,48.0,30.0,26.0,19.0,28.0,31.0,20.0,26.0,27.0,22.0,26.0,16.0,17.0,19.0,13.0,11.0,17.0,16.0,18.0,14.0,17.0,16.0,10.0,9.0,15.0
DC,M,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,F,59.0,49.0,77.0,80.0,101.0,141.0,114.0,161.0,178.0,181.0,165.0,141.0,162.0,149.0,132.0,101.0,115.0,120.0,116.0,115.0,105.0,101.0,96.0,71.0,93.0,92.0,102.0,98.0,96.0,98.0,115.0,111.0,123.0,133.0,135.0,139.0,125.0,138.0,145.0,135.0,149.0,132.0,136.0,161.0,165.0,190.0,165.0,166.0,158.0,166.0,131.0,142.0,139.0,130.0,128.0,98.0,93.0,66.0,62.0,55.0,56.0,45.0,54.0,30.0,44.0,42.0,39.0,23.0,34.0,24.0,32.0,30.0,29.0,27.0,24.0,18.0,31.0,39.0,24.0,32.0,34.0,33.0,21.0,28.0,35.0,21.0,16.0,21.0,25.0,11.0,24.0,24.0,18.0,14.0,13.0,8.0,5.0,5.0,10.0,5.0,6.0,7.0,,,5.0,,,8.0,
FL,F,239.0,223.0,290.0,327.0,427.0,482.0,537.0,581.0,585.0,620.0,626.0,717.0,706.0,793.0,847.0,972.0,1069.0,1042.0,916.0,823.0,801.0,782.0,838.0,680.0,787.0,780.0,783.0,816.0,804.0,888.0,901.0,907.0,1066.0,1215.0,1175.0,1216.0,1123.0,1237.0,1225.0,1107.0,1156.0,1223.0,1229.0,1224.0,1243.0,1253.0,1347.0,1239.0,1256.0,1195.0,1201.0,1132.0,1002.0,967.0,1052.0,849.0,781.0,704.0,641.0,549.0,578.0,545.0,455.0,445.0,417.0,379.0,385.0,348.0,363.0,342.0,407.0,422.0,418.0,360.0,321.0,356.0,327.0,348.0,340.0,361.0,357.0,371.0,328.0,322.0,327.0,291.0,253.0,221.0,232.0,234.0,223.0,219.0,195.0,175.0,200.0,166.0,146.0,153.0,114.0,93.0,101.0,75.0,80.0,84.0,83.0,74.0,70.0,77.0,79.0
FL,M,,,,,,,,,,,6.0,,,,5.0,10.0,,6.0,9.0,6.0,,5.0,7.0,,5.0,,6.0,,,7.0,,,7.0,5.0,,,,,,,,6.0,,,,,6.0,,,8.0,6.0,,,,6.0,,,,,,,,,,,,,,,,,,,5.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,F,841.0,893.0,1170.0,1223.0,1471.0,1683.0,1948.0,2025.0,2203.0,2386.0,2538.0,2474.0,2614.0,2403.0,2504.0,2555.0,2376.0,2356.0,2212.0,2153.0,2171.0,2133.0,2214.0,2114.0,2220.0,2086.0,1923.0,2099.0,2182.0,2196.0,2174.0,2175.0,2315.0,2382.0,2316.0,2099.0,2253.0,2350.0,2285.0,2251.0,2064.0,1982.0,1971.0,1827.0,1773.0,1629.0,1508.0,1454.0,1320.0,1278.0,1168.0,1103.0,1020.0,897.0,978.0,843.0,790.0,690.0,592.0,587.0,608.0,583.0,450.0,399.0,427.0,341.0,363.0,383.0,342.0,367.0,403.0,382.0,372.0,342.0,364.0,369.0,365.0,395.0,346.0,365.0,358.0,378.0,358.0,367.0,352.0,344.0,341.0,348.0,351.0,377.0,364.0,315.0,348.0,296.0,297.0,244.0,244.0,195.0,200.0,194.0,175.0,148.0,134.0,143.0,148.0,158.0,148.0,133.0,124.0
GA,M,,5.0,,6.0,,11.0,8.0,6.0,7.0,8.0,7.0,8.0,11.0,7.0,14.0,9.0,13.0,13.0,11.0,15.0,13.0,9.0,12.0,18.0,14.0,14.0,15.0,13.0,17.0,10.0,16.0,12.0,13.0,11.0,15.0,7.0,7.0,9.0,5.0,8.0,5.0,6.0,5.0,9.0,,,9.0,12.0,11.0,11.0,,6.0,,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,F,47.0,56.0,62.0,60.0,79.0,92.0,86.0,88.0,103.0,100.0,102.0,121.0,101.0,103.0,119.0,100.0,113.0,95.0,111.0,108.0,122.0,114.0,102.0,92.0,71.0,81.0,59.0,69.0,63.0,90.0,66.0,52.0,69.0,73.0,82.0,89.0,76.0,96.0,98.0,87.0,96.0,85.0,80.0,81.0,85.0,69.0,95.0,85.0,114.0,89.0,82.0,102.0,82.0,92.0,99.0,60.0,63.0,57.0,39.0,53.0,43.0,36.0,37.0,31.0,30.0,25.0,26.0,22.0,31.0,22.0,29.0,22.0,19.0,21.0,16.0,13.0,18.0,14.0,15.0,15.0,15.0,17.0,12.0,16.0,14.0,16.0,9.0,,12.0,9.0,6.0,12.0,,,5.0,7.0,,,7.0,,8.0,,5.0,9.0,7.0,5.0,,7.0,
IA,F,239.0,279.0,403.0,480.0,624.0,867.0,982.0,1077.0,1070.0,1076.0,1213.0,1215.0,1144.0,1204.0,1160.0,1122.0,1051.0,1170.0,1100.0,1025.0,1140.0,1118.0,1077.0,1059.0,1092.0,1024.0,1072.0,1100.0,1087.0,1028.0,1099.0,1091.0,1192.0,1242.0,1173.0,1079.0,1296.0,1397.0,1354.0,1290.0,1313.0,1361.0,1219.0,1218.0,1274.0,1154.0,1082.0,966.0,830.0,832.0,789.0,780.0,729.0,685.0,615.0,495.0,449.0,344.0,309.0,270.0,245.0,217.0,156.0,121.0,119.0,129.0,116.0,112.0,133.0,112.0,134.0,118.0,117.0,110.0,94.0,91.0,72.0,58.0,73.0,64.0,62.0,80.0,64.0,75.0,53.0,67.0,59.0,54.0,53.0,52.0,54.0,48.0,43.0,31.0,40.0,34.0,37.0,22.0,31.0,27.0,26.0,21.0,21.0,27.0,16.0,19.0,24.0,22.0,23.0
IA,M,,,,5.0,,,,,,5.0,,,,,,,,,,,7.0,,,,,6.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,F,53.0,50.0,77.0,91.0,93.0,149.0,171.0,199.0,214.0,185.0,209.0,207.0,223.0,195.0,180.0,169.0,135.0,142.0,147.0,151.0,125.0,159.0,145.0,135.0,120.0,136.0,145.0,158.0,156.0,144.0,144.0,126.0,150.0,162.0,174.0,169.0,180.0,188.0,177.0,198.0,187.0,169.0,186.0,184.0,158.0,167.0,157.0,149.0,154.0,134.0,121.0,110.0,94.0,99.0,101.0,98.0,66.0,54.0,56.0,44.0,46.0,49.0,42.0,35.0,43.0,51.0,37.0,54.0,42.0,49.0,56.0,47.0,45.0,36.0,36.0,36.0,24.0,21.0,32.0,23.0,29.0,21.0,24.0,33.0,23.0,30.0,22.0,16.0,15.0,24.0,29.0,18.0,22.0,18.0,25.0,17.0,17.0,13.0,11.0,12.0,7.0,10.0,11.0,9.0,17.0,7.0,12.0,11.0,10.0
